City ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
309,Webuye,75,KE,1619800059,43,0.6075,34.7697,71.6,5.75
310,Kyshtovka,35,RU,1619800060,56,56.555,76.6271,45.27,7.61
311,Liwale,99,TZ,1619800061,95,-9.7667,37.9333,70.83,3.53
312,Yulara,76,AU,1619800061,37,-25.2406,130.9889,53.6,3.44
313,Kiyevskoye,75,RU,1619800061,87,45.0383,37.8883,53.6,8.95
314,Shache,13,CN,1619800062,11,38.4167,77.2406,75.07,4.81
315,Bengkulu,100,ID,1619800062,87,-3.8004,102.2655,77.67,5.48
316,Nanortalik,6,GL,1619800063,65,60.1432,-45.2371,41.83,5.99
317,Istok,0,XK,1619800063,24,42.7808,20.4875,78.8,12.66
318,Wyndham,75,US,1619800064,35,37.6985,-77.6125,75.0,16.11
319,Pastavy,20,BY,1619800064,70,55.1168,26.8326,52.59,13.0
320,Bathsheba,20,BB,1619800065,51,13.2167,-59.5167,86.0,19.57
321,Cooma,1,AU,1619800065,93,-36.2333,149.1333,37.4,8.05
322,Pangnirtung,75,CA,1619800066,93,66.1451,-65.7125,32.0,3.44
323,Kitob,69,UZ,1619800066,52,39.0843,66.8332,66.2,13.8
324,Sola,100,VU,1619800066,74,-13.8833,167.55,81.16,19.1
325,San Vicente,1,AR,1619800067,29,-26.6167,-54.1333,75.74,4.56
326,Poronaysk,100,RU,1619800067,85,49.2167,143.1167,34.93,20.31
327,Khovd,100,MN,1619800068,26,48.0056,91.6419,63.23,10.74
328,Caceres,52,ES,1619800068,45,39.522,-6.3748,64.99,1.99
329,Smyrna,90,US,1619800069,45,33.884,-84.5144,71.01,12.66
330,Aklavik,100,CA,1619800069,86,68.2191,-135.0107,23.0,6.91
331,Luganville,86,VU,1619800069,81,-15.5333,167.1667,78.55,9.04
332,Strand,0,ZA,1619800070,59,-34.1069,18.8275,62.01,19.57
333,Marang,40,MY,1619800070,94,5.2056,103.2059,78.8,3.44
334,Ozernovskiy,65,RU,1619800071,85,51.5,156.5167,36.23,6.24
335,Coyhaique,75,CL,1619800071,62,-45.5752,-72.0662,57.2,5.75
336,Sorong,96,ID,1619800072,83,-0.8833,131.25,79.12,2.75
337,Hualmay,3,PE,1619800072,73,-11.0964,-77.6139,71.2,9.31
338,Laguna,1,US,1619799817,55,38.421,-121.4238,66.99,4.61
339,Kupang,37,ID,1619800073,83,-10.1667,123.5833,76.42,5.08
340,Rovaniemi,40,FI,1619799908,69,66.5,25.7167,28.4,5.75
341,Saint-Pierre,0,RE,1619800074,83,-21.3393,55.4781,77.0,4.61
342,Mpika,20,ZM,1619800074,86,-11.8343,31.4529,64.67,4.72
343,Alenquer,75,BR,1619800075,79,-1.9417,-54.7383,84.2,8.05
344,Belaya Gora,100,RU,1619800076,90,68.5333,146.4167,25.3,8.99
345,Severo-Yeniseyskiy,95,RU,1619800076,96,60.3725,93.0408,33.3,9.55
346,Vao,90,NC,1619800076,61,-22.6667,167.4833,74.3,20.15
347,Nouakchott,11,MR,1619799825,61,18.0858,-15.9785,77.0,23.02
348,Ngaoundéré,98,CM,1619800077,69,7.3167,13.5833,73.94,1.88
349,Ulstrup,96,DK,1619800077,66,56.3899,9.7935,48.0,3.0
350,Lyantonde,98,UG,1619800078,88,-0.4031,31.1572,66.72,2.39
351,Grindavik,75,IS,1619800078,65,63.8424,-22.4338,41.0,24.16
352,Kathmandu,40,NP,1619799925,77,27.7167,85.3167,62.6,4.61
